DEVICE	DESCR	VALUE	RATING	PACKAGE	MFG PN	MFGR NAME	MIT PN	NOTE
PNP_TRANSISTOR	PNP TRANSISTOR	MMBT2907A	unknown	UB	JANTXV2N2907AUB	MICROSEMI	37-99013	
PNP_TRANSISTOR	PNP TRANSISTOR	PMBTA92	unknown	SOT23	PMBTA92,215	NXP	37-99019	
POLARIZED_CAPACITOR	POLARIZED_CAPACITOR	100uF	15WVDC, low R	2915	CWR29HC107MCHA	KEMET		
POLARIZED_CAPACITOR	POLARIZED_CAPACITOR	10uF	35WVDC	2915	CWR19MC106MCHA	KEMET		
POLARIZED_CAPACITOR	POLARIZED_CAPACITOR	220uF	6WVDC	2915	CWR29DC227MCHA	KEMET		
POLARIZED_CAPACITOR	POLARIZED_CAPACITOR	33uF	25WVDC	2915	CWR19KC336MCHA	KEMET		
POLARIZED_CAPACITOR	POLARIZED_CAPACITOR	47uF	15WVDC	2711	CWR29HC476MCGA	KEMET		
MIL4922	POWER INDUCTOR	33uH	Delevan M27/367-27	MIL4922	M27/367-27T	API DEVELAN		
LM195H	POWER TRANSISTOR	unknown	unknown	TO39	5962-8777801XA	TEXAS INST	37-99015	
RESISTOR	RESISTOR	0.	1% 1/10W	0603	M32159B12M-TR-CC	SOTA		
RESISTOR	RESISTOR	1.	1% 1/10W	0603	M55342K12B1D00R-TR-CC	SOTA		
RESISTOR	RESISTOR	DNP	1% 1/10W	0603	DNP	DNP		NOT USED FOR FLIGHT
RESISTOR	RESISTOR	1.2	5% 1/10W	0603	M55342K12B1J20R-TR-CC	SOTA		
RESISTOR	RESISTOR	1.5	5% 1/10W	0603	M55342K12B1J50R-TR-CC	SOTA		
RESISTOR	RESISTOR	4.99	1% 1/10W	0603	M55342K12B4D99R-TR-CC	SOTA		
RESISTOR	RESISTOR	5.11	1% 1/10W	0603	M55342K12B5D11R-TR-CC	SOTA		
RESISTOR	RESISTOR	16.2	1% 1/8W	0805	M55342K06B16J2R-TR-CC	SOTA		
RESISTOR	RESISTOR	10.	1% 1/10W	0603	M55342K12B10D0R-TR-CC	SOTA		
RESISTOR	RESISTOR	330.	5% 0.15W	0805	M55342H06B330JR-TR-CC	SOTA		
RESISTOR	RESISTOR	12.1	1% 1/10W	0603	M55342K12B12D1R-TR-CC	SOTA		
RESISTOR	RESISTOR	62.	5% 0.15W	0805	M55342K06B62J0R-TR-CC	SOTA		
RESISTOR	RESISTOR	16.9	1% 1/10W	0603	M55342K12B16D9R-TR-CC	SOTA		
RESISTOR	RESISTOR	20.	1% 1/10W	0603	M55342K12B20D0R-TR-CC	SOTA		
RESISTOR	RESISTOR	21.5	1% 1/10W	0603	M55342K12B21D5R-TR-CC	SOTA		
RESISTOR	RESISTOR	46.4	1% 1/10W	0603	M55342K12B46D4R-TR-CC	SOTA		
RESISTOR	RESISTOR	49.9	1% 1/10W	0603	M55342K12B49D9R-TR-CC	SOTA		
RESISTOR	RESISTOR	51.1	1% 1/10W	0603	M55342K12B51D1R-TR-CC	SOTA		
RESISTOR	RESISTOR	75.	1% 1/10W	0603	M55342K12B75D0R-TR-CC	SOTA		
RESISTOR	RESISTOR	100.	1% 1/10W	0603	M55342H12B100DR-TR-CC	SOTA		
RESISTOR	RESISTOR	330.	1% 1/10W	0603	M55342H12B330DR-TR	SOTA		
RESISTOR	RESISTOR	464.	1% 1/10W	0603	M55342H12B464DR-TR-CC	SOTA		
RESISTOR	RESISTOR	1.	5% 1/4W	1206	D55342K07B1J00R-TR-CC	SOTA		
RESISTOR	RESISTOR	1.5k	1% 1/4W	1206	D55342K07B1E50R-TR-CC	SOTA		
RESISTOR	RESISTOR	470.	1% 1/10W	0603	M55342H12B470DR-TR	SOTA		
RESISTOR	RESISTOR	499.	1% 1/10W	0603	M55342H12B499DR-TR-CC	SOTA		
RESISTOR	RESISTOR	182.	1% 1/4W	1206	D55342K07B182DR-TR-CC	SOTA		
RESISTOR	RESISTOR	750.	1% 1/10W	0603	M55342H12B750DR-TR-CC	SOTA		
RESISTOR	RESISTOR	1.00Meg	1% 1/10W	0603	M55342M12B1F00R-TR-CC	SOTA		
